Path,Physical,Source,Comment,Single-line comment,Block comment,Mixed,Empty,To Do
src/debug.js,2,2,0,0,0,0,0,0
src/index.css,1,0,0,0,0,0,1,0
src/index.js,63,41,9,9,0,1,14,0
src/react-redux-toastr.min.css,3,1,1,0,1,0,1,0
src/registerServiceWorker.js,51,33,14,14,0,0,4,0
src/app/store/configureStore.js,26,22,0,0,0,0,4,0
src/app/store/index.js,7,4,0,0,0,0,3,0
src/app/store/middleware.js,10,10,0,0,0,0,0,0
src/app/store/rootReducer.js,12,9,1,1,0,0,2,0
src/app/routes/index.js,68,55,7,7,0,1,7,0
src/app/modules/blog/constants.js,2,1,1,1,0,0,0,0
src/app/modules/blog/index.js,8,6,1,1,0,0,1,0
src/app/modules/blog/reducer.js,14,9,2,2,0,0,3,0
src/app/modules/blog/selectors.js,8,6,0,0,0,0,2,0
src/app/modules/auth/constants.js,2,1,1,1,0,0,0,0
src/app/modules/auth/index.js,6,4,1,1,0,0,1,0
src/app/modules/auth/reducer.js,12,9,2,2,0,0,1,0
src/app/modules/auth/selectors.js,4,2,0,0,0,0,2,0
src/app/modules/shared/index.js,5,3,1,1,0,0,1,0
src/app/modules/blog/actions/actionTypes.js,40,24,9,9,0,0,7,0
src/app/modules/blog/actions/actions.js,174,106,37,32,5,7,38,0
src/app/modules/blog/actions/actions.test.js,25,23,1,1,0,0,1,0
src/app/modules/blog/components/index.js,7,6,0,0,0,0,1,0
src/app/modules/auth/user/constants.js,2,1,1,1,0,0,0,0
src/app/modules/auth/user/index.js,8,5,2,2,0,0,1,0
src/app/modules/auth/user/reducer.js,13,8,2,2,0,0,3,0
src/app/modules/auth/user/selectors.js,15,8,4,4,0,0,3,0
src/app/modules/blog/reducers/editEntryForm.js,17,14,3,3,0,3,3,0
src/app/modules/blog/reducers/entries.js,136,126,8,8,0,7,9,0
src/app/modules/blog/reducers/entry.js,57,49,2,2,0,2,8,0
src/app/modules/auth/login/constants.js,2,1,1,1,0,0,0,0
src/app/modules/auth/login/index.js,8,6,1,1,0,0,1,0
src/app/modules/auth/login/reducer.js,14,11,2,2,0,0,1,0
src/app/modules/auth/login/selectors.js,10,6,3,3,0,0,1,0
src/app/modules/shared/utils/dateFormat.js,7,7,0,0,0,0,0,0
src/app/modules/shared/utils/index.js,3,2,0,0,0,0,1,0
src/app/modules/shared/components/index.js,5,4,0,0,0,0,1,0
src/app/modules/blog/components/blog-item/BlogItem.css,1,0,0,0,0,0,1,0
src/app/modules/blog/components/blog-item/BlogItem.jsx,39,37,0,0,0,0,2,0
src/app/modules/blog/components/blog-item/BlogItem.test.js,17,15,1,1,0,1,2,0
src/app/modules/blog/components/blog-list/BlogList.jsx,73,58,6,6,0,0,9,0
src/app/modules/blog/components/blog-list/BlogList.test.js,20,18,0,0,0,0,2,0
src/app/modules/blog/components/edit-entry-form/EditEntryForm.css,3,3,0,0,0,0,0,0
src/app/modules/blog/components/edit-entry-form/EditEntryForm.jsx,151,129,11,6,5,1,12,1
src/app/modules/blog/components/edit-entry-form/EditEntryForm.test.js,20,17,0,0,0,0,3,0
src/app/modules/blog/components/blog-page/BlogPage.css,1,0,0,0,0,0,1,0
src/app/modules/blog/components/blog-page/BlogPage.jsx,79,56,13,9,4,2,12,0
src/app/modules/blog/components/blog-page/BlogPage.test.js,20,18,0,0,0,0,2,0
src/app/modules/blog/components/edit-entry-form-container/EditEntryFormContainer.jsx,93,69,10,10,0,0,14,1
src/app/modules/blog/components/edit-entry-form-container/EditEntryFormContainer.test.js,33,31,0,0,0,0,2,0
src/app/modules/blog/components/edit-entry-form-container/validate.js,21,15,5,5,0,0,1,0
src/app/modules/auth/user/actions/actionTypes.js,9,6,1,1,0,0,2,1
src/app/modules/auth/user/actions/actions.js,37,28,2,2,0,0,7,0
src/app/modules/auth/user/reducers/user.js,1,0,0,0,0,0,1,0
src/app/modules/auth/user/reducers/userList.js,38,36,1,1,0,0,1,0
src/app/modules/auth/login/reducers/loggedInUser.js,18,15,0,0,0,0,3,0
src/app/modules/auth/login/reducers/loginForm.js,18,16,2,2,0,2,2,0
src/app/modules/auth/login/reducers/loginProcess.js,42,38,1,1,0,0,3,0
src/app/modules/auth/login/components/index.js,5,4,0,0,0,0,1,0
src/app/modules/auth/login/actions/actionTypes.js,11,9,0,0,0,0,2,0
src/app/modules/auth/login/actions/actions.js,94,73,5,5,0,0,16,0
src/app/modules/shared/components/layout/Layout.css,1,0,0,0,0,0,1,0
src/app/modules/shared/components/layout/Layout.jsx,30,25,1,1,0,0,4,0
src/app/modules/shared/components/layout/Layout.test.js,27,24,0,0,0,0,3,0
src/app/modules/shared/components/navbar/NavBar.css,1,0,0,0,0,0,1,0
src/app/modules/shared/components/navbar/NavBar.jsx,19,16,0,0,0,0,3,0
src/app/modules/shared/components/navbar/NavBar.test.js,12,11,0,0,0,0,1,0
src/app/modules/shared/components/privateroute/PrivateRoute.jsx,25,22,0,0,0,0,3,0
src/app/modules/shared/components/privateroute/PrivateRoute.test.js,17,14,0,0,0,0,3,0
src/app/modules/auth/login/components/login-page/LoginPage.css,1,0,0,0,0,0,1,0
src/app/modules/auth/login/components/login-page/LoginPage.jsx,30,24,0,0,0,0,6,0
src/app/modules/auth/login/components/login-page/LoginPage.test.js,20,18,0,0,0,0,2,0
src/app/modules/auth/login/components/login-form-container/LoginFormContainer.jsx,49,38,4,4,0,1,8,1
src/app/modules/auth/login/components/login-form-container/LoginFormContainer.test.js,29,27,0,0,0,0,2,0
src/app/modules/auth/login/components/login-form-container/validate.js,11,10,0,0,0,0,1,0
src/app/modules/auth/login/components/login-form/LoginForm.css,15,12,0,0,0,0,3,0
src/app/modules/auth/login/components/login-form/LoginForm.jsx,81,69,6,2,4,0,6,0
src/app/modules/auth/login/components/login-form/LoginForm.test.js,20,17,0,0,0,0,3,0
